car_name,price,kilometers_driven,year_of_manufacture,fuel_type,transmission,location,brand,scraped_at,data_source
Maruti Suzuki Swift,"₹120,000","66,449 km",2019,Diesel,Manual,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Alto,"₹146,388","33,612 km",2023,Petrol,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Celerio,"₹105,000","57,657 km",2018,Diesel,Manual,Delhi,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Vitara Brezza,"₹291,505","33,998 km",2021,CNG,Automatic,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Celerio,"₹114,129","34,783 km",2019,Petrol,Automatic,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Swift,"₹120,000","53,444 km",2018,Petrol,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Celerio,"₹183,802","14,970 km",2020,Diesel,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Swift,"₹195,311","42,344 km",2021,CNG,Automatic,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Dzire,"₹148,421","74,035 km",2021,Petrol,Automatic,Kolkata,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Baleno,"₹152,477","39,009 km",2019,CNG,Manual,Hyderabad,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Vitara Brezza,"₹296,513","52,177 km",2022,Petrol,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Celerio,"₹105,000","70,167 km",2015,CNG,Automatic,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Dzire,"₹135,000","73,029 km",2019,CNG,Manual,Mumbai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Dzire,"₹247,160","10,151 km",2020,Petrol,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Baleno,"₹354,335","38,266 km",2023,Petrol,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Ertiga,"₹180,000","11,570 km",2016,Diesel,Manual,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Wagon R,"₹119,472","40,352 km",2020,Diesel,Manual,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Vitara Brezza,"₹296,793","52,075 km",2022,CNG,Manual,Delhi,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Swift,"₹171,085","34,457 km",2020,Petrol,Manual,Chennai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Baleno,"₹255,457","77,817 km",2023,Diesel,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Celerio,"₹243,075","21,100 km",2022,Diesel,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Wagon R,"₹186,132","35,912 km",2022,CNG,Automatic,Hyderabad,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Baleno,"₹150,000","15,963 km",2017,CNG,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Alto,"₹60,000","55,530 km",2016,Diesel,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Dzire,"₹135,000","57,334 km",2015,CNG,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Wagon R,"₹95,974","16,017 km",2018,Diesel,Manual,Kolkata,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Wagon R,"₹210,538","19,641 km",2022,Diesel,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Ertiga,"₹289,206","63,598 km",2022,Petrol,Manual,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Baleno,"₹394,995","22,002 km",2023,Petrol,Automatic,Kolkata,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Ertiga,"₹209,753","30,082 km",2019,Petrol,Automatic,Kolkata,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Swift,"₹198,111","40,944 km",2021,CNG,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Dzire,"₹200,749","70,778 km",2022,CNG,Manual,Mumbai,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Alto,"₹60,000","70,356 km",2020,CNG,Automatic,Pune,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
Maruti Suzuki Swift,"₹323,902","18,049 km",2023,Diesel,Manual,Bangalore,Maruti Suzuki,2025-10-20 16:10:27,realistic_sample
