car_name,price,kilometers_driven,year_of_manufacture,fuel_type,transmission,location,brand,scraped_at,data_source,price_numeric,km_numeric,year_numeric,fuel_type_clean,transmission_clean,car_model,has_complete_data
Maruti Suzuki Wagon R,"₹136,840","48,773 km",2021,Diesel,Manual,Bangalore,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,136840.0,48773,,Diesel,Manual,Wagon R,False
Maruti Suzuki Dzire,"₹345,264","26,549 km",2023,Diesel,Manual,Bangalore,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,345264.0,26549,,Diesel,Manual,Dzire,False
Maruti Suzuki Alto,"₹96,404","63,596 km",2022,Diesel,Manual,Bangalore,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,96404.0,63596,,Diesel,Manual,Alto,False
Maruti Suzuki Alto,"₹60,000","47,800 km",2017,Petrol,Automatic,Delhi,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,60000.0,47800,,Petrol,Automatic,Alto,False
Maruti Suzuki Baleno,"₹150,000","24,312 km",2018,Petrol,Automatic,Pune,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,150000.0,24312,,Petrol,Automatic,Baleno,False
Maruti Suzuki Alto,"₹60,000","58,978 km",2017,Diesel,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,60000.0,58978,,Diesel,Automatic,Alto,False
Maruti Suzuki Vitara Brezza,"₹165,000","61,892 km",2018,Diesel,Manual,Mumbai,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,165000.0,61892,,Diesel,Manual,Vitara Brezza,False
Maruti Suzuki Dzire,"₹325,248","35,445 km",2023,CNG,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,325248.0,35445,,CNG,Automatic,Dzire,False
Maruti Suzuki Vitara Brezza,"₹354,964","10,922 km",2021,Diesel,Manual,Hyderabad,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,354964.0,10922,,Diesel,Manual,Vitara Brezza,False
Maruti Suzuki Alto,"₹60,000","19,684 km",2015,CNG,Automatic,Bangalore,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,60000.0,19684,,CNG,Automatic,Alto,False
Maruti Suzuki Vitara Brezza,"₹371,998","44,728 km",2023,CNG,Automatic,Delhi,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,371998.0,44728,,CNG,Automatic,Vitara Brezza,False
Maruti Suzuki Ertiga,"₹180,000","20,212 km",2017,Diesel,Manual,Hyderabad,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,180000.0,20212,,Diesel,Manual,Ertiga,False
Maruti Suzuki Ertiga,"₹218,364","27,212 km",2019,Petrol,Manual,Kolkata,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,218364.0,27212,,Petrol,Manual,Ertiga,False
Maruti Suzuki Baleno,"₹183,044","66,782 km",2021,Diesel,Manual,Kolkata,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,183044.0,66782,,Diesel,Manual,Baleno,False
Maruti Suzuki Dzire,"₹135,000","67,608 km",2018,CNG,Manual,Pune,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,135000.0,67608,,CNG,Manual,Dzire,False
Maruti Suzuki Celerio,"₹124,298","68,972 km",2021,Petrol,Manual,Kolkata,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,124298.0,68972,,Petrol,Manual,Celerio,False
Maruti Suzuki Wagon R,"₹139,105","67,263 km",2022,CNG,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,139105.0,67263,,CNG,Automatic,Wagon R,False
Maruti Suzuki Baleno,"₹150,000","51,172 km",2015,Diesel,Manual,Hyderabad,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,150000.0,51172,,Diesel,Manual,Baleno,False
Maruti Suzuki Wagon R,"₹134,332","30,445 km",2020,CNG,Automatic,Chennai,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,134332.0,30445,,CNG,Automatic,Wagon R,False
Maruti Suzuki Baleno,"₹164,664","14,134 km",2018,Diesel,Automatic,Mumbai,Maruti Suzuki,2025-10-20 16:52:45,realistic_sample,164664.0,14134,,Diesel,Automatic,Baleno,False
